Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total
1,People's Republic of China,14,6,9,29,2
2,United States of America,13,13,10,36,1
3,Japan,13,4,5,22,4
4,ROC,7,11,7,25,3
5,Australia,7,2,10,19,5
6,Great Britain,5,6,5,16,7
7,Republic of Korea,4,2,5,11,9
8,Germany,3,3,5,11,9
9,France,3,3,3,9,12
10,Italy,2,7,9,18,6
11,Netherlands,2,7,4,13,8
12,Canada,2,3,5,10,11
13,Hungary,2,1,2,5,15
14,Slovenia,2,1,1,4,17
15,Croatia,2,0,1,3,22
16,Kosovo,2,0,0,2,29
17,Switzerland,1,3,2,6,13
18,Romania,1,3,0,4,17
19,Chinese Taipei,1,2,3,6,13
20,Brazil,1,2,2,5,15
21,New Zealand,1,2,1,4,17
22,Georgia,1,2,0,3,22
23,Serbia,1,1,2,4,17
24,Austria,1,1,1,3,22
25,"Hong Kong, China",1,1,0,2,29
25,Tunisia,1,1,0,2,29
27,Estonia,1,0,1,2,29
27,Ireland,1,0,1,2,29
27,Uzbekistan,1,0,1,2,29
30,Bermuda,1,0,0,1,42
30,Ecuador,1,0,0,1,42
30,Fiji,1,0,0,1,42
30,Islamic Republic of Iran,1,0,0,1,42
30,Latvia,1,0,0,1,42
30,Norway,1,0,0,1,42
30,Philippines,1,0,0,1,42
30,Thailand,1,0,0,1,42
38,Spain,0,2,1,3,22
39,South Africa,0,2,0,2,29
40,Indonesia,0,1,2,3,22
40,Mongolia,0,1,2,3,22
42,Belgium,0,1,1,2,29
42,Czech Republic,0,1,1,2,29
42,Denmark,0,1,1,2,29
45,Bulgaria,0,1,0,1,42
45,Colombia,0,1,0,1,42
45,India,0,1,0,1,42
45,Jordan,0,1,0,1,42
45,North Macedonia,0,1,0,1,42
45,Poland,0,1,0,1,42
45,Turkmenistan,0,1,0,1,42
45,Venezuela,0,1,0,1,42
53,Ukraine,0,0,4,4,17
54,Kazakhstan,0,0,3,3,22
55,Egypt,0,0,2,2,29
55,Mexico,0,0,2,2,29
55,Turkey,0,0,2,2,29
58,Argentina,0,0,1,1,42
58,C?te d'Ivoire,0,0,1,1,42
58,Cuba,0,0,1,1,42
58,Finland,0,0,1,1,42
58,Israel,0,0,1,1,42
58,Kuwait,0,0,1,1,42
